site_code,SppRich,Simp,Shan,EvenJ,E10,Abund,S_PIE,Turnover,Turnover_app,Turnover_disapp,rare.sppRich,ept_spp_richness,ept_abundance,crustacea_spp_richness,crustacea_abundance,diptera_spp_richness,diptera_abundance,mollusc_spp_richness,mollusc_abundance,insect_spp_richness,insect_abundance,annelid_spp_richness,annelid_abundance
LTR62_2016,44,0.946762082,3.3125338,0.87536147,0.075284859,1010,19.1206049,0.74137931,0.5,0.24137931,36.3408921,20,417,1,5,3,65,10,415,30,541,3,49
LTR62_2017,61,0.961638098,3.600139416,0.875760127,0.059018679,4682,26.20787703,0.636363636,0.428571429,0.207792208,43.05242141,35,2341,0,0,5,306,12,1613,46,2853,3,216
LTR62_2020,22,0.910703125,2.643925516,0.855350762,0.120178433,160,11.96613358,0.797101449,0.115942029,0.68115942,22,6,20,2,9,1,8,5,69,14,81,1,1
LTR65_2010,28,0.874604334,2.671537909,0.801732877,0.095412068,222,8.234642497,NA,NA,NA,20.01095301,12,81,1,4,2,7,2,19,21,178,4,21
LTR65_2012,25,0.941938398,3.002631434,0.932819903,0.120105257,1783,17.38132385,0.707317073,0.317073171,0.390243902,20.54458348,11,1047,0,0,4,295,4,241,20,1518,1,24
LTR65_2013,32,0.952630624,3.206048077,0.925069932,0.100189002,843,21.62723949,0.575,0.375,0.2,23.79137422,11,371,0,0,5,141,7,158,24,677,1,8
LTR65_2014,27,0.818551612,2.135794686,0.648028034,0.079103507,341,5.585316504,0.688888889,0.288888889,0.4,13.14679044,15,224,1,2,4,91,1,1,24,337,1,1
LTR65_2015,36,0.785218317,2.214431122,0.61794877,0.061511976,623,4.683417936,0.5,0.357142857,0.142857143,14.96721596,16,463,2,3,6,9,3,20,31,600,0,0
LTR65_2016,21,0.906869421,2.632638365,0.864713077,0.125363732,275,11.13327423,0.704545455,0.181818182,0.522727273,16.33205377,9,111,0,0,2,31,3,39,15,175,3,61
LTR65_2017,9,0.807100592,1.784409404,0.812119718,0.198267712,65,5.546666667,0.8,0.16,0.64,9,6,39,1,7,0,0,0,0,7,40,1,18
LTR65_2020,23,0.924677134,2.736712871,0.872817069,0.118987516,514,13.60167131,0.857142857,0.678571429,0.178571429,16.62661871,7,186,2,3,3,76,2,65,17,393,2,53
LTR70_2010,34,0.907767062,2.786314804,0.79013895,0.081950435,522,11.05087363,NA,NA,NA,32.05617693,13,186,1,8,4,20,5,170,25,302,3,42
LTR70_2012,25,0.86242555,2.392979373,0.743420841,0.095719175,1607,7.297275442,0.627906977,0.209302326,0.418604651,21.98703705,5,207,1,29,4,195,6,648,16,449,2,481
LTR70_2013,26,0.894318914,2.636756191,0.809293451,0.1014137,1438,9.51848508,0.621621622,0.324324324,0.297297297,25.54122582,4,323,2,63,2,72,6,490,14,571,4,314
